"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","beta.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","beta.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","beta.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","beta.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","beta.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","beta.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","beta.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","beta.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","beta.gouv.fr/5.104.101.30","443","LOW","offered","","CWE-310"
"cipherlist_GOOD","beta.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG","beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipherorder_TLSv1_2","beta.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","beta.gouv.fr/5.104.101.30","443","OK","server","",""
"protocol_negotiated","beta.gouv.fr/5.104.101.30","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","beta.gouv.fr/5.104.101.30","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"FS","beta.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","beta.gouv.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","beta.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","beta.gouv.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","beta.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","beta.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","beta.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","beta.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","beta.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","beta.gouv.fr/5.104.101.30","443","INFO","1","",""
